downloaded,language,form,measure,age,word,proportion
2025-01-25,English (American),WS,produces,16,a,0.04
2025-01-25,English (American),WS,produces,17,a,0.04
2025-01-25,English (American),WS,produces,18,a,0.07
2025-01-25,English (American),WS,produces,19,a,0.12
2025-01-25,English (American),WS,produces,20,a,0.14
2025-01-25,English (American),WS,produces,21,a,0.17
2025-01-25,English (American),WS,produces,22,a,0.25
2025-01-25,English (American),WS,produces,23,a,0.28
2025-01-25,English (American),WS,produces,24,a,0.29
2025-01-25,English (American),WS,produces,25,a,0.37
2025-01-25,English (American),WS,produces,26,a,0.39
2025-01-25,English (American),WS,produces,27,a,0.47
2025-01-25,English (American),WS,produces,28,a,0.54
2025-01-25,English (American),WS,produces,29,a,0.56
2025-01-25,English (American),WS,produces,30,a,0.65
2025-01-25,English (American),WS,produces,16,a lot,0
2025-01-25,English (American),WS,produces,17,a lot,0.01
2025-01-25,English (American),WS,produces,18,a lot,0.02
2025-01-25,English (American),WS,produces,19,a lot,0.05
2025-01-25,English (American),WS,produces,20,a lot,0.05
2025-01-25,English (American),WS,produces,21,a lot,0.06
2025-01-25,English (American),WS,produces,22,a lot,0.1
2025-01-25,English (American),WS,produces,23,a lot,0.17
2025-01-25,English (American),WS,produces,24,a lot,0.19
2025-01-25,English (American),WS,produces,25,a lot,0.26
2025-01-25,English (American),WS,produces,26,a lot,0.27
2025-01-25,English (American),WS,produces,27,a lot,0.35
2025-01-25,English (American),WS,produces,28,a lot,0.42
2025-01-25,English (American),WS,produces,29,a lot,0.54
2025-01-25,English (American),WS,produces,30,a lot,0.59
2025-01-25,English (American),WS,produces,16,about,0
2025-01-25,English (American),WS,produces,17,about,0
2025-01-25,English (American),WS,produces,18,about,0
2025-01-25,English (American),WS,produces,19,about,0
2025-01-25,English (American),WS,produces,20,about,0.03
2025-01-25,English (American),WS,produces,21,about,0.03
2025-01-25,English (American),WS,produces,22,about,0.04
2025-01-25,English (American),WS,produces,23,about,0.03
2025-01-25,English (American),WS,produces,24,about,0.06
2025-01-25,English (American),WS,produces,25,about,0.08
2025-01-25,English (American),WS,produces,26,about,0.11
2025-01-25,English (American),WS,produces,27,about,0.11
2025-01-25,English (American),WS,produces,28,about,0.13
2025-01-25,English (American),WS,produces,29,about,0.25
2025-01-25,English (American),WS,produces,30,about,0.31
2025-01-25,English (American),WS,produces,16,above,0.01
2025-01-25,English (American),WS,produces,17,above,0.01
2025-01-25,English (American),WS,produces,18,above,0.01
2025-01-25,English (American),WS,produces,19,above,0.02
2025-01-25,English (American),WS,produces,20,above,0.03
2025-01-25,English (American),WS,produces,21,above,0.03
2025-01-25,English (American),WS,produces,22,above,0.04
2025-01-25,English (American),WS,produces,23,above,0.04
2025-01-25,English (American),WS,produces,24,above,0.08
2025-01-25,English (American),WS,produces,25,above,0.11
2025-01-25,English (American),WS,produces,26,above,0.12
2025-01-25,English (American),WS,produces,27,above,0.17
2025-01-25,English (American),WS,produces,28,above,0.2
2025-01-25,English (American),WS,produces,29,above,0.25
2025-01-25,English (American),WS,produces,30,above,0.32
2025-01-25,English (American),WS,produces,16,after,0
2025-01-25,English (American),WS,produces,17,after,0
2025-01-25,English (American),WS,produces,18,after,0.02
2025-01-25,English (American),WS,produces,19,after,0.02
2025-01-25,English (American),WS,produces,20,after,0.03
2025-01-25,English (American),WS,produces,21,after,0.06
2025-01-25,English (American),WS,produces,22,after,0.08
2025-01-25,English (American),WS,produces,23,after,0.12
2025-01-25,English (American),WS,produces,24,after,0.18
2025-01-25,English (American),WS,produces,25,after,0.23
2025-01-25,English (American),WS,produces,26,after,0.24
2025-01-25,English (American),WS,produces,27,after,0.31
2025-01-25,English (American),WS,produces,28,after,0.33
2025-01-25,English (American),WS,produces,29,after,0.48
2025-01-25,English (American),WS,produces,30,after,0.55
2025-01-25,English (American),WS,produces,16,all,0.03
2025-01-25,English (American),WS,produces,17,all,0.04
2025-01-25,English (American),WS,produces,18,all,0.06
2025-01-25,English (American),WS,produces,19,all,0.12
2025-01-25,English (American),WS,produces,20,all,0.13
2025-01-25,English (American),WS,produces,21,all,0.17
2025-01-25,English (American),WS,produces,22,all,0.21
2025-01-25,English (American),WS,produces,23,all,0.34
2025-01-25,English (American),WS,produces,24,all,0.33
2025-01-25,English (American),WS,produces,25,all,0.38
2025-01-25,English (American),WS,produces,26,all,0.43
2025-01-25,English (American),WS,produces,27,all,0.48
2025-01-25,English (American),WS,produces,28,all,0.55
2025-01-25,English (American),WS,produces,29,all,0.64
2025-01-25,English (American),WS,produces,30,all,0.71
2025-01-25,English (American),WS,produces,16,am,0.01
2025-01-25,English (American),WS,produces,17,am,0.01
2025-01-25,English (American),WS,produces,18,am,0.02
2025-01-25,English (American),WS,produces,19,am,0.03
2025-01-25,English (American),WS,produces,20,am,0.07
2025-01-25,English (American),WS,produces,21,am,0.06
2025-01-25,English (American),WS,produces,22,am,0.1
2025-01-25,English (American),WS,produces,23,am,0.13
2025-01-25,English (American),WS,produces,24,am,0.18
2025-01-25,English (American),WS,produces,25,am,0.25
2025-01-25,English (American),WS,produces,26,am,0.24
2025-01-25,English (American),WS,produces,27,am,0.33
2025-01-25,English (American),WS,produces,28,am,0.43
2025-01-25,English (American),WS,produces,29,am,0.52
2025-01-25,English (American),WS,produces,30,am,0.58
2025-01-25,English (American),WS,produces,16,an,0
2025-01-25,English (American),WS,produces,17,an,0
2025-01-25,English (American),WS,produces,18,an,0
2025-01-25,English (American),WS,produces,19,an,0.02
2025-01-25,English (American),WS,produces,20,an,0.02
2025-01-25,English (American),WS,produces,21,an,0.02
2025-01-25,English (American),WS,produces,22,an,0.04
2025-01-25,English (American),WS,produces,23,an,0.03
2025-01-25,English (American),WS,produces,24,an,0.04
2025-01-25,English (American),WS,produces,25,an,0.09
2025-01-25,English (American),WS,produces,26,an,0.09
2025-01-25,English (American),WS,produces,27,an,0.12
2025-01-25,English (American),WS,produces,28,an,0.17
2025-01-25,English (American),WS,produces,29,an,0.19
2025-01-25,English (American),WS,produces,30,an,0.22
2025-01-25,English (American),WS,produces,16,and,0.01
2025-01-25,English (American),WS,produces,17,and,0.01
2025-01-25,English (American),WS,produces,18,and,0.02
2025-01-25,English (American),WS,produces,19,and,0.05
2025-01-25,English (American),WS,produces,20,and,0.09
2025-01-25,English (American),WS,produces,21,and,0.09
2025-01-25,English (American),WS,produces,22,and,0.17
2025-01-25,English (American),WS,produces,23,and,0.32
2025-01-25,English (American),WS,produces,24,and,0.3
2025-01-25,English (American),WS,produces,25,and,0.36
2025-01-25,English (American),WS,produces,26,and,0.45
2025-01-25,English (American),WS,produces,27,and,0.49
2025-01-25,English (American),WS,produces,28,and,0.56
2025-01-25,English (American),WS,produces,29,and,0.66
2025-01-25,English (American),WS,produces,30,and,0.72
2025-01-25,English (American),WS,produces,16,any,0
2025-01-25,English (American),WS,produces,17,any,0.01
2025-01-25,English (American),WS,produces,18,any,0.01
2025-01-25,English (American),WS,produces,19,any,0.03
2025-01-25,English (American),WS,produces,20,any,0.03
2025-01-25,English (American),WS,produces,21,any,0.04
2025-01-25,English (American),WS,produces,22,any,0.05
2025-01-25,English (American),WS,produces,23,any,0.09
2025-01-25,English (American),WS,produces,24,any,0.12
2025-01-25,English (American),WS,produces,25,any,0.15
2025-01-25,English (American),WS,produces,26,any,0.21
2025-01-25,English (American),WS,produces,27,any,0.31
2025-01-25,English (American),WS,produces,28,any,0.28
2025-01-25,English (American),WS,produces,29,any,0.39
2025-01-25,English (American),WS,produces,30,any,0.45
2025-01-25,English (American),WS,produces,16,are,0
2025-01-25,English (American),WS,produces,17,are,0.01
2025-01-25,English (American),WS,produces,18,are,0.01
2025-01-25,English (American),WS,produces,19,are,0.02
2025-01-25,English (American),WS,produces,20,are,0.04
2025-01-25,English (American),WS,produces,21,are,0.04
2025-01-25,English (American),WS,produces,22,are,0.07
2025-01-25,English (American),WS,produces,23,are,0.1
2025-01-25,English (American),WS,produces,24,are,0.14
2025-01-25,English (American),WS,produces,25,are,0.16
2025-01-25,English (American),WS,produces,26,are,0.21
2025-01-25,English (American),WS,produces,27,are,0.27
2025-01-25,English (American),WS,produces,28,are,0.34
2025-01-25,English (American),WS,produces,29,are,0.4
2025-01-25,English (American),WS,produces,30,are,0.5
2025-01-25,English (American),WS,produces,16,at,0.02
2025-01-25,English (American),WS,produces,17,at,0.02
2025-01-25,English (American),WS,produces,18,at,0.03
2025-01-25,English (American),WS,produces,19,at,0.04
2025-01-25,English (American),WS,produces,20,at,0.07
2025-01-25,English (American),WS,produces,21,at,0.09
2025-01-25,English (American),WS,produces,22,at,0.13
2025-01-25,English (American),WS,produces,23,at,0.16
2025-01-25,English (American),WS,produces,24,at,0.2
2025-01-25,English (American),WS,produces,25,at,0.25
2025-01-25,English (American),WS,produces,26,at,0.33
2025-01-25,English (American),WS,produces,27,at,0.38
2025-01-25,English (American),WS,produces,28,at,0.37
2025-01-25,English (American),WS,produces,29,at,0.51
2025-01-25,English (American),WS,produces,30,at,0.52
2025-01-25,English (American),WS,produces,16,be,0
