"term","estimate","std.error","statistic","p.value","model"
"(Intercept)",-14.0720988039938,7.89474051557738,-1.78246501911338,0.0780834821127436,"additive"
"phoneme_length",2.73644114008616,0.804933726915891,3.39958564113204,0.00101184014599387,"additive"
"frequency",-181.225791969046,331.89080510374,-0.546040412033711,0.586404322325485,"additive"
"mean_utterance_length",2.50067820498574,0.80645207102152,3.10083921269887,0.002584600948553,"additive"
"Conc.M",1.98248243485247,1.59412464675675,1.24361820694877,0.216905894477824,"additive"
"syn_catadj-adv",-4.47033365553673,4.61387317984084,-0.968889581765864,0.335225961831808,"additive"
"syn_catadv",2.62385740042948,4.17387114713865,0.628638812251843,0.531195617764983,"additive"
"syn_catco-qn",11.3870034531549,9.43170419386754,1.20731134258417,0.230511087812194,"additive"
"syn_catconj",1.43089552359567,5.75447630033925,0.248657818524913,0.80419837349788,"additive"
"syn_catconj-adv",18.5141497137334,6.76597121648276,2.73636247056898,0.00749922611777865,"additive"
"syn_catconj-prep",1.76533808451556,6.53493461766383,0.270138599358573,0.787679040677448,"additive"
"syn_catconj-prep-adv",-5.64755668688841,7.0608035198037,-0.799846174879176,0.425929645696541,"additive"
"syn_catconj-pro-int-rel",-6.84791148390792,10.0856638410186,-0.678974789548043,0.49891572546171,"additive"
"syn_catdet",12.1095063685909,11.9311849028252,1.01494583037796,0.312882907403148,"additive"
"syn_catdet-pro-comp",8.75483264482583,11.7531539245763,0.744892196682552,0.458299407260199,"additive"
"syn_catdet-pro-dem",3.12569807434528,5.86134201456233,0.533273449421579,0.59517351886923,"additive"
"syn_catmod",0.358351771174969,4.67475736334257,0.0766567638322812,0.939068663851956,"additive"
"syn_catneg",12.380213122709,9.05626948320843,1.36703232447573,0.175058200956259,"additive"
"syn_catprep",-0.930062009145529,5.22044538172829,-0.178157597893998,0.859004101488997,"additive"
"syn_catprep-adv",1.77494279962978,3.55622672863233,0.499108446978125,0.618934475196325,"additive"
"syn_catprep-inf",10.0445843599083,10.5529116808228,0.951830609760691,0.343760726776415,"additive"
"syn_catpro-indef",-1.75815579279513,5.73963711361586,-0.306318284238622,0.760077760020484,"additive"
"syn_catpro-indef-adj",0.953120183986865,8.84054928715815,0.107812326251195,0.914387242524953,"additive"
"syn_catpro-int-rel",9.72016406019379,5.40793339646911,1.79738975086864,0.0756653487650853,"additive"
"syn_catqn",5.70286687598978,4.20801159505957,1.35524029512781,0.17877064720863,"additive"
"syn_catqn-adv",17.0043118218253,4.55148433344701,3.73599260726166,0.000329657788188352,"additive"
"(Intercept)",2511134.40143591,408075.471364751,6.15360289369459,1.06113398468796e-05,"multiplicative"
"phoneme_length",-832990.606248293,135371.359528258,-6.15337401612202,1.06160769429927e-05,"multiplicative"
"frequency",4005526439.88795,641294701.377598,6.24599958690362,8.86686875263903e-06,"multiplicative"
