,gloss,part_of_speech,syn_cat
1,a,"det:art, , n:let, n:prop, uni, on, sing, phon, wplay, L2, meta, chi, co, unk, n, adj",det
2,about,"prep, adv, , n:prop",prep-adv
3,above,"prep, adv, ",prep-adv
4,across,"prep, adv, ",prep-adv
5,after,"conj, prep, adv:tem, , adj",conj-prep-adv
6,again,"adv, , adv:tem",adv
7,against,"prep, , adv",prep-adv
8,all,"adv, qn, post, pro:indef, , n:prop, chi, adj",qn
9,almost,"adv, ",adv
10,along,"prep, adv, ",prep-adv
11,already,"adv, , phon",adv
12,also,"adv, ",adv
13,although,"conj, ",conj
14,always,"adv, ",adv
15,am,"cop, aux, uni, , n:prop, meta",aux
16,an,"det:art, ",det
17,and,"coord, , n:prop, meta, unk, phon",conj
18,another,"qn, n:prop, pro:indef, , chi, adj",qn
19,any,"qn, , pro:indef",qn
20,anyone,"pro:indef, , adj",pro-indef
21,anything,"pro:indef, , meta, adj",pro-indef
22,anyway,"adv, co, ",adv
23,anyways,"adv, neo, ",adv
24,anywhere,"adv, ",adv
25,are,"cop, aux, , n:prop, phon",aux
26,as,"prep, conj, adv, , unk",conj-prep-adv
27,at,"prep, , phon, n:prop",prep
28,be,"aux, cop, , sing, chi, n:prop, co, neo",aux
29,because,"conj, , n:prop, unk, phon",conj
30,been,"cop, aux, , n:prop",aux
31,before,"adv, conj, prep, , n:prop, unk",conj-prep-adv
32,behind,"adv, prep, n, ",prep-adv
33,being,"part, n, n:gerund, aux, v, , on",aux
34,below,"prep, adv, ",prep-adv
35,beside,"prep, ",prep
36,between,"prep, adv, ",prep-adv
37,beyond,"prep, adv, n:prop",prep-adv
38,both,"qn, post, , n:prop",qn
39,but,"conj, , n:prop, meta, neo",conj
40,by,"prep, adv, , n:prop",prep-adv
41,can,"mod, n, , n:prop, v, meta, unk, phon, adj",mod
42,could,"mod, , n:prop",mod
43,did,"v, mod, , part, n, phon, n:prop",mod-v
44,different,"adj, , n:prop",adj
45,do,"mod, v, , n:prop, on, L2, n, sing, phon, wplay, meta, chi",mod-v
46,does,"mod, v, , n:prop, neo, phon",mod-v
47,doing,"part, n:gerund, , on, neo",mod-v
48,down,"adv, prep, n, , v, n:prop, meta, unk",prep-adv
49,during,"prep, ",prep
50,each,"qn, post, ",qn
51,eight,"det:num, , meta, adj",adj
52,eighth,"adj, ",adj
53,either,"adv, coord, qn, ",qn-adv
54,else,"post, , adj",adj
55,even,"adv, adj, v, , n:prop",adv
56,ever,"adv, ",adv
57,every,"qn, ",qn
58,everybody,"pro:indef, , unk, adj",pro-indef
59,everyone,"pro:indef, , n:prop, adj",pro-indef
60,everything,"pro:indef, , adj",pro-indef
61,everywhere,"n, adv, , meta, n:prop, adj",adv
62,except,"conj, prep, v, ",conj-prep
63,few,"n, qn, ",qn
64,fifth,"adj, ",adj
65,first,"adj, adv, , n:prop, meta, none",adj-adv
66,five,"det:num, , n:prop, meta, adj",adj
67,for,"prep, comp, conj, , n:prop, meta, phon",conj-prep
68,four,"det:num, , n:prop, meta, adj",adj
69,fourth,"adj, n, n:prop, ",adj
70,from,"prep, , meta",prep
71,had,"v, part, aux, , L2, mod",v-aux
72,has,"aux, v, , n, phon",v-aux
73,have,"v, aux, , n:prop, unk, phon, mod",v-aux
74,having,"part, n:gerund, , aux",aux
75,he,"pro:sub, , wplay, on, meta, n:prop, chi, unk, phon, adj",pro-sub
76,her,"pro:obj, det:poss, , on, phon, n:prop, meta",pro-obj
77,here,"adv, n, n:prop, pro:exist, , meta, v, on, none, adj",adv
78,hers,"pro:poss, ",pro-poss
79,herself,"pro:refl, ",pro-refl
80,him,"pro:obj, , meta",pro-obj
81,himself,"pro:refl, ",pro-refl
82,his,"det:poss, pro:poss, , n:prop",pro-poss
83,how,"pro:int, pro:rel, n:prop, , phon, adv:int",pro-int-rel
84,i,"pro:sub, , n:let, sing, meta, on, phon, co",pro-sub
85,if,"comp, , conj, n:prop",conj
86,in,"prep, adv, , n:prop, meta, L2, phon, adj",prep-adv
87,indeed,"adv, co, ",adv
88,instead,"adv, ",adv
89,into,"prep, , meta",prep
90,is,"cop, aux, , n:prop, meta, unk, phon, chi, adj",aux
91,it,"pro:per, , n:prop, meta, phon, adj",pro
92,its,"det:poss, , n:prop",pro-poss
93,itself,"pro:refl, ",pro-refl
94,just,"adv, adj, , n:prop",adv
95,last,"adj, adv, n, , v",adj-adv
96,least,"n, adj, v, ",adj-adv
97,less,"adj, ",adj-adv
98,many,"qn, pro:indef, , dia",qn
99,may,"mod, adj, , n:prop, L2",mod
100,maybe,"adv, , meta",adv
101,me,"pro:obj, , sing, meta, n:prop, unk, L2",pro-obj
102,might,"mod, n, ",mod
103,mine,"n, pro:poss, v, , meta, adj",pro-poss
104,more,"qn, adv, pro:indef, , sing, post, meta, phon, n:prop",adj-adv
105,most,"qn, , pro:indef",qn-adv
106,much,"qn, adv, , n:prop, phon",qn-adv
107,must,"mod, , n:prop",mod
108,my,"det:poss, , co, n:prop, meta, phon, neo",pro-poss
109,myself,"pro:refl, meta, ",pro-refl
110,near,"prep, adj, , adv, v",prep-adv
111,need,"v, n, , mod, phon",mod
112,neither,"adv, coord, qn, ",qn-adv
113,never,"adv, , meta, adv:tem, n:prop",adv
114,nine,"det:num, , n:prop, phon, chi",adj
115,no,"co, qn, meta, , n:prop, L2, unk, phon, on",co-qn
116,none,"pro:indef, , meta, adj",adj
117,nor,"coord, , n:prop, on",conj
118,not,"neg, , meta, coord, phon, mod",neg
119,now,"adv, , n:prop, adv:tem, none",adv
120,nowhere,"n, adv, , adj",adv
121,nt,,neg
122,of,"prep, , n:prop, none, unk, L2, phon",prep
123,often,"adv, , adv:tem",adv
124,on,"prep, adv, , meta, n:prop, unk, phon, n:pt",prep-adv
125,once,"adv, conj, , n:prop, L2, adv:tem, phon",conj-adv
